Force [ edit ],Minor,Increases critical damage done by 10%.,Abilities,"Accelerate , Roar , Stalwart Guard , Trap Beast",
Sets,"The Blind (set) , Grave Inevitability , Gryphon's Ferocity , Medusa , Oakensoul Ring , Phoenix Moth Theurge , Twilight Remedy , Tzogvin's Warband , Velothi Ur-Mage's Amulet"
Scribing,"Force on Mender's Bond , Smash , Traveling Knife , Ulfsild's Contingency , Vault"
Major,Increases critical damage done by 20%.,Abilities,"Aggressive Horn , Ink-Scribe's Verve , Light's Champion",
Sets,"Grave Inevitability , Grisly Gourmet , The Saint and the Seducer , Saxhleel Champion"
Fortitude [ edit ],Minor,Increases health recovery by 15%.,Abilities,"Arcanist's Domain , Hearthfire , Restoring Aura",
Sets,Oakensoul Ring
Major,Increases health recovery by 30%.,Abilities,Dragon Blood,
Sets,Apocryphal Inspiration
Potions,Restore Health Potion
Gallop [ edit ],- (Counts as a Minor Buff),Increases mounted speed by 15%. (Multiplicatively),Abilities,Continuous Attack,
Sets,Adept Rider
Heroism [ edit ],Minor,Generates 1 Ultimate every 1.5 seconds. (Only while in combat),Abilities,"Audacious Runemend , Hearthfire , Heroic Slash",
Sets,"Champion of the Hist , Cryptcanon Vestments , Daring Corsair , Gardener of Seasons , Indomitable Fury , Oakensoul Ring , Reawakened Hierophant , Ritemaster's Bond , Shalk Exoskeleton"
Scribing,"Heroism on Banner Bearer , Mender's Bond , Torchbearer"
Potions,Heroism Potion
Major,Generates 3 Ultimate every 1.5 seconds. (Only while in combat),Abilities,"Bountiful Harvest , Shimmering Shield",
Sets,"Basalt-Blooded Warrior , Daedric Trickery , Drake's Rush , Hanu's Compassion , Transformative Hope"
Scribing,Heroism on Trample
Champion,Last Stand
Intellect [ edit ],Minor,Increases magicka recovery by 15%.,Abilities,"Arcanist's Domain , Enchanted Growth , Refreshing Path , Regenerative Ward , Restoring Aura",
Sets,Oakensoul Ring
Scribing,"Intellect and Endurance on Banner Bearer , Mender's Bond , Soul Burst , Ulfsild's Contingency , Vault"
Major,Increases magicka recovery by 30%.,Sets,Apocryphal Inspiration,
Scribing,Intellect and Endurance on Wield Soul
Potions,Restore Magicka Potion
Mending [ edit ],Minor,Increases healing done by 8%.,Abilities,"Healthy Offering , Sacred Ground",
Sets,"Healer's Habit , Naga Shaman , Oakensoul Ring"
Major,Increases healing done by 16%.,Abilities,"Accelerated Growth , Essence Drain , Obsidian Shield",
Sets,"Daedric Trickery , Wisdom of Vanus"
Physical Resistance [ edit ],,Increases physical resistance by 1320.,Potions,Increase Armor Poison,
Physical Resistance Potion [ edit ],,Increases physical resistance by 5280.,Potions,Increase Armor Potion,
Prophecy [ edit ],Minor,Increases spell critical by 1314.,Abilities,Exploitation,
Potions,Spell Critical Poison
Major,Increases spell critical by 2629.,Abilities,"Bound Armaments , Expert Hunter , Grim Focus , Inferno , Lotus Flower , Magelight , Roar , Shocking Siphon , Sun Fire",
Sets,"Oakensoul Ring , Toothrow , Treasure Hunter"
Scribing,"Savagery and Prophecy on Banner Bearer , Elemental Explosion , Smash , Soul Burst , Torchbearer , Trample , Traveling Knife , Ulfsild's Contingency , Vault , Wield Soul"
Potions,Spell Critical Potion
Protection [ edit ],Minor,Reduces damage taken by 5%.,Abilities,"Bone Totem , Bound Armor , Circle of Protection , Deafening Roar , Frost Impulse , Ice Fortress , Protect the Brood , Ransack , Runic Defense , Shadow Cloak , Spear Wall , Temporal Guard",
Sets,"Indomitable Fury , Ironblood , Oakensoul Ring , Vampire Cloak"
Scribing,"Protection on Banner Bearer , Mender's Bond , Ulfsild's Contingency"
Potions,Protection Potion or Poison
Verses,Apocryphal Emissary 1st stack
Major,Reduces damage taken by 10%.,Abilities,"Consuming Darkness , Deaden Pain , Focused Charge , Glyphic of the Tides , Hearth and Home , Lead From the Front , Pack Leader , Remembrance , Revealing Flare , Sleet Storm",
Sets,"Coward's Gear , Daedric Trickery , Hagraven's Garden , Immortal Warrior , Ironblood , Pirate Skeleton , Reawakened Hierophant , Steadfast Hero , Test of Resolve"
Scribing,Protection on Trample
Resolve [ edit ],Minor,Increases physical and spell resistance by 2974.,Abilities,"Blessing of Protection , Bone Armor , Bound Aegis , Mirage , Resolving Vigor , Runic Defense",
Sets,"Magma Incarnate , Stone's Accord"
Scribing,"Resolve on Banner Bearer , Soul Burst , Torchbearer , Ulfsild's Contingency"
Verses,Apocryphal Emissary 2nd stack
Major,Increases physical and spell resistance by 5948.,Abilities,"Balance , Bone Armor , Earthspike Mantle , Fatewoven Armor , Feral Cruelty , Frost Cloak , Lightning Form , Mend Spirit , Rune Focus , Shadow Barrier , Unstoppable",
Sets,"Mighty Chudan , Mighty Glacier , Oakensoul Ring , The Saint and the Seducer"
Scribing,"Resolve on Shield Throw , Wield Soul"
Savagery [ edit ],Minor,Increases weapon critical by 1314.,Abilities,Hemorrhage,
Potions,Weapon Critical Poison
Major,Increases weapon critical by 2629.,Abilities,"Bound Armaments , Expert Hunter , Grim Focus , Inferno , Lotus Flower , Magelight , Roar , Shocking Siphon , Sun Fire",
Sets,"Oakensoul Ring , Toothrow , Treasure Hunter"
Scribing,"Savagery and Prophecy on Banner Bearer , Elemental Explosion , Smash , Soul Burst , Torchbearer , Trample , Traveling Knife , Ulfsild's Contingency , Vault , Wield Soul"
Potions,Weapon Critical Potion
Slayer [ edit ],Minor,"Increases damage done to Dungeon, Trial and Arena Monsters by 5%.",Sets,"Ansuul's Torment , Arms of Relequen , Bahsei's Mania , Coral Riptide , False God's Devotion , Infallible Mage , Mantle of Siroria , Master Architect , Moondancer , Mora Scribe's Thesis , Oakensoul Ring , Peace and Serenity , Roaring Opportunist , Roar of Alkosh , Slivers of the Null Arca , Sul-Xan's Torment , Tooth of Lokkestiiz , Vicious Serpent , War Machine , Whorl of the Depths , Yandir's Might",
Major,"Increases damage done to Dungeon, Trial and Arena Monsters by 10%.",Sets,"Master Architect , Roaring Opportunist , Tooth of Lokkestiiz , War Machine",
Sorcery [ edit ],Minor,Increases spell damage by 10%.,Abilities,Illuminate,
Potions,Increase Spell Power Poison
Major,Increases spell damage by 20%.,Abilities,"Betty Netch , Biting Jabs , Degeneration , Drain Power , Hidden Blade , Hircine's Bounty , Molten Weapons , Momentum , Pariah's Resolve , Skeletal Mage , Surge , Tome-Bearer's Inspiration , Venom Arrow",
Sets,"Dreugh King Slayer , Oakensoul Ring , Rattlecage"
Scribing,"Brutality and Sorcery on Banner Bearer , Elemental Explosion , Smash , Soul Burst , Torchbearer , Trample , Traveling Knife , Ulfsild's Contingency , Vault , Wield Soul"
Potions,Increase Spell Power Potion
Spell Resistance [ edit ],,Increases spell resistance by 1320.,Potions,Increase Spell Resist Poison,
Spell Resistance Potion [ edit ],,Increases spell resistance by 5280.,Potions,Increase Spell Resist Potion,
Toughness [ edit ],Minor,Increases maximum health by 10%.,Abilities,Maturation,
Sets,Warrior-Poet
Verses,Apocryphal Emissary 3rd stack
Vitality [ edit ],Minor,Increases healing received and shield Strength by 6%.,Abilities,"Blood of the Green Dragon , Mystic Guard , Vibrant Shroud",
Sets,"Gardener of Seasons , Hollowfang Thirst , Naga Shaman , Order of Diagna , Ozezan the Inferno"
Scribing,"Vitality on Mender's Bond , Smash , Torchbearer"
Potions,Vitality Poison
Major,Increases healing received and Shield Strength by 12%.,Abilities,"Bone Surge , Erudite's Rigor , Hircine's Fortitude , Soul Siphon",
Sets,"Bani's Torment , Daedric Trickery , Jailer's Tenacity , Mender's Ward , Scourge Harvester"
Scribing,"Vitality on Shield Throw , Wield Soul"
Potions,Vitality Potion
