Bangkorai
Place,Boss/Quest,Set,Item Name,Description
Onsi's Breath,Rising Against Onsi's Breath,Seventh Legion Brute,Seventh Legion Gauntlets,"Like Onsi's Breath, these gauntlets were reclaimed from the Imperial Legion by Snaruga. She gave them to you in thanks for freeing her friends from enslavement in the mine."
Pelin Graveyard,The Waking Darkness,Vampire Lord,Crozier of St. Pelin,Father Quiston and Dame Valyrie bestowed this staff in thanks for your aid in putting Prince Adrien to rest.
Qharroa Ruins,Tongues of Stone,Spriggan's Thorns,Stoneskin Gloves,"The gloves are lined with tufts of goat hair, softening their touch on the wearer's skin."
Rubble Butte,Lady Edwyge,Vampire Lord,Vampire Lord Edwyge's Coven Gown,
Back in Time,Seventh Legion Brute,Timeless Braided Cord,"Gahgdar might not remember asking you to retrieve a precious book, but he was grateful enough to reward you with this necklace."
Silaseli Ruins,Urenenya's Lament,Vampire Lord,Klathzgar's Fingergloves,The spirit of Princess Urenenya awarded these delicate gloves in thanks for freeing her soul. Perhaps she and Klathzgar will be reunited at last.
Conflicted Emotions,Spriggan's Thorns,Merciless Longsword,Caravan contractor Zaag gave you this sword in grudging gratitude for helping her with an emotional conflict outside her pay grade.
Summoner's Camp,Caecilia Attius,Seventh Legion Brute,Seventh Legion's Conjured Oath-Band,
Sunken Road,Present in Memory,Seventh Legion Brute,A Cheap Trinket,A tarnished ring earned for reuniting a scholar and his guide in the spider-infested caverns of the Sunken Road in Bangkorai.
Telesubi Ruins,Qumehdi and Zaman,Seventh Legion Brute,Seventh Legion's Ayleid Breastplate,
Torog's Spite,Lorogdu gra-Gulash,Vampire Lord,Vampire Lord Rune Charm Choker,
Claim to Fame,Seventh Legion Brute,Clan's Pride Necklace,The historian Maaga was so thankful to learn which Orc clan was responsible for sacking the Chauvry estate that he awarded this necklace.
Troll's Toothpick,Pale Squnque,Vampire Lord,Vampire Lord's Gnawed Staff,
Troll's Dessert,Spriggan's Thorns,A Bent Silver Ring,A troll-smashed ring Gluineth gave you in thanks for leading her unharmed out of Troll's Toothpick.
Viridian Watch,Curnard the Generous,Seventh Legion Brute,Seventh Legion's The Wolfguard,
Viridian Woods,The Will of the Woods,Spriggan's Thorns,Sentinel's Longbow,This bow was awarded for deciding the fate of the Viridian Sentinel in the wilds of Bangkorai.
