Stormhaven
Place,Boss/Quest,Set,Item Name,Description
Sir Hughes' Fate,Storm Knight's Plate,Honor's Guardian,This armor honors the one who brought Duchess Lakana's murderer to justice.
Koeglin Lighthouse,Captive Crewmembers,Dreamer's Mantle,Seaworthy Shoes,These waterproof shoes were a gift from Captain Albert Marck in thanks for saving his crew from Ember-Eye slavers.
Koeglin Mine,Girara,Storm Knight's Plate,Girara's Fist of the Storm Knight,
Koeglin Village,False Accusations,Storm Knight's Plate,Unsullied Gauntlets,Dame Dabienne of the Knights of the Flame was glad to be freed from the Koeglin Village stocks. She awarded you these gauntlets.
A Dangerous Dream,Night Terror,Cleftside Espaulders,Captain Jerick gave you this shoulder armor in thanks for his rescue from the Supernal Dreamers.
Moonlit Maw,The Gate to Quagmire,Dreamer's Mantle,Spirit Warden's Gloves,You earned these gloves by slaying the Daedric spirit of Vaermina residing inside Master Muzgu at Moonlit Maw.
Mudcrab Beach,Titanclaw,Storm Knight's Plate,Carapace-Shaped Heater of the Storm Knight,
Norvulk Ruins,Nariam,Night Terror,Flame-Twist Blade of Night Terror,
Nurin Farm,A Family Affair,Night Terror,Crofter's Corslet,"In addition to pledging to build a statue in your honor, Ganise Nurin of Nurin Farm awarded this armor for saving her father from the Supernal Dreamers."
Scamp Invasion,Storm Knight's Plate,Burnished Knife,"After losing so much, William Nurin still gifted this knife in gratitude for stopping scamps from invading Nurin Farm."
Pariah Abbey,Azura's Guardian,Dreamer's Mantle,Abbot's Prayer Sash,"A gift from Master Altien of Pariah Abbey, in thanks for your efforts against the Midnight Union."
A Prison of Sleep,Storm Knight's Plate,Azura's Vigilance,"Abbot Durak of Pariah Abbey awarded this staff for his rescue from the slumbering hold of Vaermina's cultists, the Supernal Dreamers."
The Return of the Dream Shard,Dreamer's Mantle,Dreamless Staff,This staff is styled after one used by ancient court mages throughout High Rock.
Injured Spirit Wardens,Storm Knight's Plate,The Abbey Wall,"For exhibiting a healer's touch and saving her fellow spirit wardens around Pariah Abbey, Falice Menoit gifted you this shield."
Pariah Catacombs,Uncle Bones,Night Terror,Bone-Handled Dirk of Night Terror,
Portdun Watch,Ariane,Dreamer's Mantle,Dreamer's Fine-Wrought Staff,
Scrag's Larder,Cousin Scrag,Storm Knight's Plate,Fang of Scrag of the Storm Knight,
Shinji's Scarp,Ending the Ogre Threat,Dreamer's Mantle,Clan Murtag Leggings,A gift from Sergeant Olfin for stopping the Ironhand Ogres from overtaking Shinji's Scarp.
Godrun's Dream,Dreamer's Mantle,Veiled Favor,Abbot Durak awarded this staff in gratitude for the discovery of Vaermina's true intentions in Stormhaven.
Soulshriven Tower,Curse of Skulls,Night Terror,Carved Bone Medallion,A kindred spirit in Soulshriven Tower gave you this unusually cold medallion as thanks for being liberated from Molag Bal's curse.
Spider Nest,Old Widow Silk,Dreamer's Mantle,Dreamer's Cobweb-Laced Trousers,
Steelheart Moorings,Divert and Deliver,Night Terror,Scimitar of Suffering,"First Mate Elvira Derre gave you this swashbuckling sword for saving her crew from Ma'jhad Kha, leader of the Ember-Eye slavers."
Vanne Farm,The Slumbering Farmer,Night Terror,Knavish Mucking Boots,Ingride Vanne was so thankful to be awoken from the Supernal Dreamers's slumber that she gave you these hardy boots.
Rozenn's Dream,Dreamer's Mantle,Supernal Reverie Staff,"Ingrid Vanne gave you this staff for saving her daughter from becoming the vessel of Kynreeve Ykal, the Omen of Deception."
Wayrest,The Debt Collector's Debts,Storm Knight's Plate,S'Rashi's Deadbeat Stompers,S'rashi gave this fair reward as thanks for helping collect debts owed to him so he might pay off his own. It wouldn't do to get himself in debt again.
A Gang of Thugs,Storm Knight's Plate,Wayrest Guard's Cincture,Captain Mathias Etienne gifted this belt on behalf of the Wayrest Guard as thanks for dispatching the head of the Backstreet Gang.
Vaermina's Gambit,Storm Knight's Plate,The High King's War Axe,Presented by High King Emeric to you for service to the Daggerfall Covenant.
Wayrest Sewers I,Deception in the Dark,Sergeant's Mail,Investigator's Uniform of the Sergeant,The official raiment of a Wayrest Investigator.
Wayrest Sewers II,No Second Chances,Sergeant's Mail,Pellingare War Plate of the Sergeant,"The finest armor to be found in Wayrest, above the city or below."
Weeping Giant,Azura's Relics,Storm Knight's Plate,Twilight Poleyns,A gift from Brother Perry for retrieving relics of Azura stolen by the Supernal Dreamers.
Wind Keep,Gift from a Suitor,Storm Knight's Plate,Manteau's Greatsword,Countess Ilise Manteau of Wind Keep gifted you this family heirloom in thanks for keeping her safe from suitors and cultists.
Windridge Cave,Legacy of the Three,Night Terror,Sir Edain's War Belt,"As thanks for banishing the spirits of the infamous Three in Cave, the spirit of Sir Edain gifted you a trusty war belt he wore in life."
