Greenshade
Place,Boss/Quest,Set,Item Name,Description
Rootwater Grove,The Flooded Grove,Shadow Dancer's Raiment,Circlet of the Wooded Eye,"When you wear this mysterious necklace, it seems like no secret can escape you."
Rootwater Spring,Heart of Rootwater,Shadow Dancer's Raiment,Rootwater Robes of the Shadow Dancer,
Seaside Sanctuary,A Storm Upon the Shore,Beekeeper's Gear,Triumphant Spaulders,Captain Jimila gave you these spaulders. They still smell of the sea.
Pelidil's End,Beekeeper's Gear,Sargasso's Curse,"This sword, forged long ago for a Maormer Warlord, now celebrates Vicereeve Pelidil's death near Seaside Sanctuary."
Serpent's Grotto,Hunting the Troll,Wilderqueen's Arch,Trollsmasher,Defeating Manglemaw the troll would have been easier if you'd had this mace beforehand.
The Serpent Lord,Shadow Dancer's Raiment,Staff of the Serpent,"Power thrums from this staff, reminding you of the sea serpent's energy."
Shademist Moors,Lost in the Mist,Shadow Dancer's Raiment,Mistwalker's Cord,"This belt slips around your waist like a cold breath of wind, barely noticeable."
Shadows Crawl,Stone Cold,Beekeeper's Gear,Watchman's Helm,"This helm has clearly seen some use, a testament to its sturdy construction."
Shrouded Vale,The Fading Tree,Shadow Dancer's Raiment,Vale's Legacy Leggings,These surprisingly comfortable leggings were a gift for protecting the Fading Tree in the Shrouded Hollow.
Spinner's Cottage,The Witch of Silatar,Shadow Dancer's Raiment,Earth-Shaker Staff,Wood from trees on Silatar was used in creating this staff.
The Underroot,Domina Ssaranth,Wilderqueen's Arch,Lamiascale Bow of the Wilderqueen,
Thodundor's View,Thodundor of the Hill,Wilderqueen's Arch,Thodundor's Boots of the Wilderqueen,
Verrant Morass,The Blight of the Bosmer,Beekeeper's Gear,Gauntlets of the Forest Protector,These gauntlets from Indaenir have a fine layer of dirt from the corrupted Eldest in the finger joints.
Woodhearth,Double Jeopardy,Beekeeper's Gear,Woodhearth Breastplate,Queen Ayrenn herself awarded this armor after you cleansed the corruption in Greenshade.
In the Belly of the Sea Hawk,Shadow Dancer's Raiment,Fine Silk Gloves,Kunira-daro paid you for your light-fingered help with these high-quality gloves.
Manthir's Debt,Shadow Dancer's Raiment,Matchmaker's Slippers,Perhaps wearing these slippers will help you find your own match.
