Grahtwood
Place,Boss/Quest,Set,Item Name,Description
Passage Denied,Green Pact,Stibbons's Misplaced Sash,"A small note within this worn belt reads: ""To Stibbons, for five years of entirely adequate service. -Laurent"""
Nindaeril's Perch,Nindaeril the Monsoon and Bavura the Blizzard,Green Pact,Nindaeril's Tooth of the Green Pact,This tooth still has sinews attached to it and can fit around your neck.
Ossuary of Telacar,The Unquiet Dead,Ranger's Gait,Telacar's Sustaining Helm,This helm glows with a pale yellow light. It was long ago worn by the powerful necromancer Telacar.
Poacher Camp,Otho Rufinus,Ranger's Gait,Poacher's Cuirass of the Ranger,This breastplate is cool to the touch.
Redfur Trading Post,Flipping the Coin,Ranger's Gait,Hollow Moon Cowl,This cowl is difficult to see in poor light. It does not impede the wearer's field of view.
The Innkeeper's Daughter,Ranger's Gait,Redfur Trading Gloves,"These gloves are well maintained, despite years of use. An advertisement for Redfur Trading Post is stitched within."
"Things Lost, Things Found",N/A,Bastian's Potion Supply Box,This small box contains a few potions that Bastian thought you might appreciate.
Reliquary of Stars,Forbidden Love,Green Pact,Murdered Mason's Boots,These boots are caked in layers of ancient mud. They are all that remains of a slave who upset his Ayleid master.
Heart of the Matter,Green Pact,Ukaezai's Scalpel,"This sword emanates dark energy. When released, the hilt blackens the bearer's palms with greasy soot."
Lost in Study,Syrabane's Grip,Reliquarian's Robes,These robes are remarkably thin. They seem to be made from some strange kind of silk.
Reman's Bluff,A Chief Concern,Green Pact,Barkbite Greaves,"This plate armor was made by Wood Orc smiths. It is thick, heavy, and well-constructed."
The Enemy Within,Green Pact,Barkbite Breastplate,This heavy breastplate is incredibly sturdy. Its simple construction shows the great skill of Barkbite smiths.
Sarandel's Carnival,Carnival Conundrum,Ranger's Gait,Belt of the Bad Performance,This belt twitches slightly when objects are thrown at its wearer.
Southpoint,The Grip of Madness,Syrabane's Grip,Sheogorath's Choice,"This peculiar crown looks too small to fit comfortably. When worn, the faint urge to dance is unrelenting."
Sweetbreeze Cottage,The Wandering Minstrel,Ranger's Gait,Sweetbreeches,These traveling breeches seem cool to the touch.
Tarlain Heights,Ancient Stones,Green Pact,Abaede Pauldrons,These immaculate pauldrons are of Ayleid design. Eminaire traded them to me for the fragments I brought her.
The Gray Mire,Scars Never Fade,Syrabane's Grip,Mother Lightning's Spur,This hammer is only heavy when sheathed. It crackles and seems to lose half its weight in the bearer's hand.
The Orrery,The Orrery of Elden Root,Syrabane's Grip,Rajhin's Diminished Mantle,This is all that remains of Rajhin's Mantle. Its curse-and much of its power-was burned away by the Orrery.
The Scuttle Pit,Spider Queen,Green Pact,Spiderstaff of the Green Pact,This staff is covered with a sticky coating.
A Silken Garb,Ranger's Gait,Cheliceral Hook,The hollow reservoir within this dagger seems patterned after some kind of fang. It only stops dripping when sheathed.
Thugrub's Cave,Thugrub the Reformed,Syrabane's Grip,Thugrub's Bane of Syrabane,Flames lick the blade of this massive sword.
Valanir's Rest,Valanir the Restless and Valanir's Shield,Green Pact,Valanir's Lost Hope of the Green Pact,This staff emanates despair.
Vinedeath Cave,Madruin,Ranger's Gait,Tough Mining Boots of the Ranger,These boots look like they could stand up to anything.
Storgh's Bow,Syrabane's Grip,Orthelos' Torchstaff,"This staff smolders brightly in the darkness. If kept alight for too long, the bearer begins to crave roasted acorns."
Wormroot Depths,Raynia,Syrabane's Grip,Stunning Wormstaff of Syrabane,This staff smells of decay.
Light in the Darkness,Green Pact,Clumsy Alchemist's Vambraces,These heavy gloves have a distinct alchemical smell. Dozens of acid spatters cover the metal.
