Eastmarch
Place,Boss/Quest,Set,Item Name,Description
Security Details,Akaviri Dragonguard,Shell Slicer,This dagger was awarded by Captain Ula-Reen for assisting with security concerns at Jorunn's Stand.
Kynesgrove,For Kyne's Honor,Akaviri Dragonguard,Kyne's Honor,You received this amulet for helping Captain Alhana and her soldiers at Kynesgrove.
Nature's Accord,Stendarr's Embrace,Staff of Nature's Accord,This staff was bestowed for helping to restore Nature's Accord and keep the sigil out of Stormfist hands.
Lost Knife Cave,Alchemical Analysis,Stendarr's Embrace,Aleeto's Alchemy Gloves,"For assisting Aleeto with her alchemy experiment at Fort Amol, this light hand protection was bestowed."
Do Kill the Messenger,Fiord's Legacy,Lost Knife Mining Brace,Tridi gave you this medium-weight belt for intercepting the Stormfist courier and protecting the miners of Lost Knife Cave.
Mystery Metal,Fiord's Legacy,Lost Knife Mining Boots,Jomund awarded these medium foot coverings for helping to free the Lost Knife Cave Mine from Stormfist control.
Lower Yorgrim,Collector of Pelts,Fiord's Legacy,Wolf Pelt Mantle,This mantle was bestowed by Hanmaer Furmender for helping the villagers of Lower Yorgrim with their wolf problem.
Giant Problems,Fiord's Legacy,Frostwind Axe,This weapon was awarded for aiding the survivors of the giant attack on Lower Yorgrim.
Mistwatch,Eternal Slumber,Stendarr's Embrace,Dreamwalker Staff,The Ternion High Priest awarded this staff for walking the Dreamstride at Mistwatch.
Gods Save the King,Akaviri Dragonguard,Skald-King's Greaves,Jorunn the Skald-King gave you these greaves for entering his dreams and saving him from the Daedric poison at Mistwatch.
Mzulft,Kireth's Amazing Plan,Akaviri Dragonguard,Dungeon-Delving Harness,A heavy-weight belt awarded for helping Kireth and Raynor Vanos solve the mystery of the Mzulft ruins.
In Search of Kireth Vanos,Fiord's Legacy,Dungeon-Delving Brigandine,This brigandine was given to you for helping Raynor Vanos locate his sister Kireth in the Mzulft ruins.
Old Sord's Cave,"Braxek, Eorim the Hammer and Gadof",Akaviri Dragonguard,Stormfist's Holy Hammer of the Dragon,"A weapon awarded for defeating the Stormfist Brigade leader, Eorim the Hammer, in Old Sord's Cave."
Rageclaw's Den,Rageclaw,Stendarr's Embrace,Rageclaw's Collar of Stendarr,"A necklace awarded for defeating the giant wolf, Rageclaw."
Ratmaster's Prowl,Olveidi the Ratmaster,Fiord's Legacy,Fiord's Ratmaster's Bloodbow,"A weapon awarded for defeating the vampire, Olveidi the Ratmaster."
Skuldafn,Snow and Flame,Stendarr's Embrace,Burial Shawl of the Brief Queen,The spirit of Queen Nurnhilde bestowed this light shoulder protection for sowing chaos in the Stormfist camp at Skuldafn.
Songs of Sovngarde,Akaviri Dragonguard,Skald-King's Sabatons,"For defeating Fildgor Orcthane and helping to seal the Ebonheart Pact, Prince Irnskar gave you these sabatons."
Stormcrag Crypt,Deathknight Stormcrag,Akaviri Dragonguard,Deathknight Aegis of the Dragon,A shield awarded for defeating Deathknight Stormcrag in the cave known as Stormcrag Crypt.
Swiftblade's Camp,Beralagr,Stendarr's Embrace,Snow Bear's Fang of Stendarr,"A necklace awarded for defeating the giant snow bear, Beralagr."
Thulvald's Logging Camp,Land Dispute,Fiord's Legacy,Forester Leggings,Medium-weight armor awarded for helping Thulvald's logging camp settle a land dispute with a spriggan matron.
Voljar's Meadery,A Brother's Revenge,Stendarr's Embrace,Voljar Meadery Trousers,Yraldar Snowpeak gave you these light leggings for helping him defeat Kazok the Orc at Voljar's Meadery.
A Friend in Mead,Stendarr's Embrace,Voljar Meadery Seal,This ring was awarded for being a friend to Haraldar and the mead makers of Voljar's Meadery in their time of troubles.
Windhelm,On a Dare,Fiord's Legacy,Draugr Bane,A gift from Nivene Orthil in thanks for seeing her drunken friends through the Hall of the Dead.
"One Victor, One King",Stendarr's Embrace,Thane Watch,Thane Mera awarded this shield for saving Jorunn the Skald-King and foiling Fildgor's Stormfist assassins in Windhelm.
Party Planning,Fiord's Legacy,Rigurt's Robust Ring,"Rigurt the Brash, Master of Ceremonies for the Konunleikar, bestowed this ring for aiding with the party planning in Windhelm."
Wittestadr,Quest reward for The Better of Two Evils,Fiord's Legacy,Blood Mask,This protective head covering was bestowed for aiding the vampires of Wittestadr.
