Endeavor,Description,Tips and Notes
"Consume [1, 2, 3, 4] Food(s)",Consume Foods to complete this endeavor.,
Craft 1 Adept Rider Item,Craft items from the Adept Rider Item Set to complete this endeavor. You can find the relevant item set crafting location in Summerset.,
Craft 1 Aetherial Ascension Item,"Craft items from the Aetherial Ascension Item Set to complete this endeavor. You can find the relevant item set crafting location in Blackreach, beneath Western Skyrim.",
Craft 1 Alessia's Bulwark Item,"Craft items from the Alessia's Bulwark Item Set to complete this endeavor. You can find the relevant item set crafting location in Alik'r Desert, Eastmarch, or Malabal Tor.",
Craft 1 Ancient Dragonguard Item,Craft items from the Ancient Dragonguard Item Set to complete this endeavor. You can find the relevant item set crafting location on Tideholm in Southern Elsweyr.,
"Craft [1, 2] Armor Master Item(s)",Craft items from the Armor Master Item Set to complete this endeavor. You can find the relevant item set crafting location in the Imperial City.,
Craft 1 Armor of the Seducer Item,"Craft items from the Armor of the Seducer Item Set to complete this endeavor. You can find the relevant item set crafting location in Deshaan, Grahtwood, or Stormhaven.",
Craft 1 Ashen Grip Item,"Craft items from the Ashen Grip Item Set to complete this endeavor. You can find the relevant item set crafting location in Auridon, Glenumbra, or Stonefalls.",
Craft 1 Assassin's Guile Item,Craft items from the Assassin's Guile Item Set to complete this endeavor. You can find the relevant item set crafting location in Vvardenfell.,
Craft 1 Chimera's Rebuke Item,Craft items from the Chimera's Rebuke Item Set to complete this endeavor. You can find the relevant item set crafting location in Galen.,
Craft 1 Claw of the Forest Wraith Item,Craft items from the Claw of the Forest Wraith Item Set to complete this endeavor. You can find the relevant item set crafting location in Galen.,
Craft 1 Clever Alchemist Item,Craft items from the Clever Alchemist Item Set to complete this endeavor. You can find the relevant item set crafting location in Hew's Bane.,
Craft 1 Critical Riposte Item,Craft items from the Critical Riposte Item Set to complete this endeavor. You can find the relevant item set crafting location in Cyrodiil.,
Craft 1 Daedric Trickery Item,Craft items from the Daedric Trickery Item Set to complete this endeavor. You can find the relevant item set crafting location in Vvardenfell.,
Craft 1 Deadlands Demolisher Item,Craft items from the Deadlands Demolisher Item Set to complete this endeavor. You can find the relevant item set crafting location in The Deadlands.,
Craft 1 Death's Wind Item,"Craft items from the Death's Wind Item Set to complete this endeavor. You can find the relevant item set crafting location in Auridon, Glenumbra, or Stonefalls.",
Craft 1 Diamond's Victory Item,Craft items from the Diamond's Victory Item Set to complete this endeavor. You can find the relevant item set crafting location in Blackwood.,
Craft 1 Dragon's Appetite Item,Craft items from the Dragon's Appetite Item Set to complete this endeavor. You can find the relevant item set crafting location in Western Skyrim.,
"Craft [1, 2] Eternal Hunt Item(s)",Craft items from the Eternal Hunt Item Set to complete this endeavor. You can find the relevant item set crafting location in Hew's Bane.,
Craft 1 Eyes of Mara Item,Craft items from the Eyes of Mara Item Set to complete this endeavor. You can find the relevant item set crafting location in Eyevea.,
Craft 1 Grave-Stake Collector Item,Craft items from the Grave-Stake Collector Item Set to complete this endeavor. You can find the relevant item set crafting location in Murkmire.,
Craft 1 Heartland Conqueror Item,Craft items from the Heartland Conqueror Item Set to complete this endeavor. You can find the relevant item set crafting location in Blackwood.,
Craft 1 Hunding's Rage Item,"Craft items from the Hunding's Rage Item Set to complete this endeavor. You can find the relevant item set crafting location in Bangkorai, Reaper's March, or The Rift.",
Craft 1 Kvatch Gladiator Item,Craft items from the Kvatch Gladiator Item Set to complete this endeavor. You can find the relevant item set crafting location in Gold Coast.,
"Craft [1, 2] Law of Julianos Item(s)",Craft items from the Law of Julianos Item Set to complete this endeavor. You can find the relevant item set crafting location in Wrothgar.,
Craft 1 Mechanical Acuity Item,Craft items from the Mechanical Acuity Item Set to complete this endeavor. You can find the relevant item set crafting location in Clockwork City.,
Craft 1 Might of the Lost Legion Item,Craft items from the Might of the Lost Legion Item Set to complete this endeavor. You can find the relevant item set crafting location in Murkmire.,
Craft 1 Morkuldin Item,Craft items from the Morkuldin Item Set to complete this endeavor. You can find the relevant item set crafting location in Wrothgar.,
Craft 1 New Moon Acolyte Item,Craft items from the New Moon Acolyte Item Set to complete this endeavor. You can find the relevant item set crafting location in Southern Elsweyr.,
Craft 1 Night Mother's Gaze Item,"Craft items from the Night Mother's Gaze Item Set to complete this endeavor. You can find the relevant item set crafting location in Bangkorai, Reaper's March, or The Rift.",
Craft 1 Night's Silence Item,"Craft items from the Night's Silence Item Set to complete this endeavor. You can find the relevant item set crafting location in Auridon, Glenumbra, or Stonefalls.",
Craft 1 Nocturnal's Favor Item,Craft items from the Nocturnal's Favor Item Set to complete this endeavor. You can find the relevant item set crafting location in Summerset.,
Craft 1 Oblivion's Foe Item,Craft items from the Oblivion's Foe Item Set to complete this endeavor. You can find the relevant item set crafting location in Coldharbour.,
Craft 1 Orgnum's Scales Item,Craft items from the Orgnum's Scales Item Set to complete this endeavor. You can find the relevant item set crafting location in the Earth Forge.,
Craft 1 Pelinal's Wrath Item,Craft items from the Pelinal's Wrath Item Set to complete this endeavor. You can find the relevant item set crafting location in Gold Coast.,
Craft 1 Redistributer Item,Craft items from the Redistributor Item Set to complete this endeavor. You can find the relevant item set crafting location in the Imperial City.,
Craft 1 Seeker Synthesis Item,Craft items from the Seeker Synthesis Item Set to complete this endeavor. You can find the relevant item set crafting location in Apocrypha.,
Craft 1 Senche-raht's Grit Item,Craft items from the Senche-raht's Grit Item Set to complete this endeavor. You can find the relevant item set crafting location in Northern Elsweyr.,
Craft 2 Shacklebreaker Items,Craft items from the Shacklebreaker Item Set. You can find the relevant item set crafting location in Vvardenfell.,
Craft 1 Shalidor's Curse Item,Craft items from the Shalidor's Curse Item Set to complete this endeavor. You can find the relevant item set crafting location in Eyevea.,
Craft 1 Song of Lamae Item,"Craft items from the Song of Lamae Item Set to complete this endeavor. You can find the relevant item set crafting location in Alik'r Desert, Eastmarch, or Malabal Tor.",
"Craft [1, 2] Spectre's Eye Item(s)",Craft items from the Spectre's Eye Item Set to complete this endeavor. You can find the relevant item set crafting location in Coldharbour.,
"Craft [1, 2] Spell Parasite Item(s)","Craft items from the Spell Parasite Item Set to complete this endeavor. You can find the relevant item set crafting location in Blackreach, beneath Western Skyrim.",
Craft 1 Stuhn's Favor Item,Craft items from the Stuhn's Favor Item Set to complete this endeavor. You can find the relevant item set crafting location in Western Skyrim.,
Craft 1 Trial by Fire Item,Craft items from the Trial by Fire Item Set to complete this endeavor. You can find the relevant item set crafting location in Wrothgar.,
Craft 1 Varen's Legacy Item,Craft items from the Varen's Legacy Item Set to complete this endeavor. You can find the relevant item set crafting location in Gold Coast.,
"Craft [1, 2] Vastarie's Tutelage Item(s)",Craft items from the Vastarie's Tutelage Item Set to complete this endeavor. You can find the relevant item set crafting location in Northern Elsweyr.,
Craft 1 Way of the Arena Item,Craft items from the Way of the Arena Item Set to complete this endeavor. You can find the relevant item set crafting location in Craglorn.,
Craft 1 Willow's Path Item,"Craft items from the Willow's Path Item Set to complete this endeavor. You can find the relevant item set crafting location in Bangkorai, Reaper's March, or The Rift.",
Craft 1 Wretched Vitality Item,Craft items from the Wretched Vitality Item Set. You can find the relevant item set crafting location in The Deadlands.,
"Craft [4, 5, 6, 8] Items with any skill",Craft items using any skill to complete this endeavor. Crafting stations can be found in most major cities.,
"Craft [2, 4, 5, 6] Items with the Alchemy skill",Craft items using the Alchemy skill to complete this endeavor. Alchemy stations can be found in most major cities.,
"Craft [2, 4, 5, 6] Items with the Blacksmithing skill",Craft items using the Blacksmithing skill to complete this endeavor. Blacksmithing stations can be found in most major cities.,
"Craft [2, 4, 5, 6] Items with the Clothier skill",Craft items using the Clothier skill to complete this endeavor. Clothier stations can be found in most major cities.,
"Craft [2, 4, 5] Items with the Enchanting skill",Craft items using the Enchanting skill to complete this endeavor. Enchanting tables can be found in most major cities.,
"Craft [2, 4, 5] Items with the Jewelry Crafting skill",Craft items using the Jewelry Crafting skill to complete this endeavor. Jewelry Crafting stations can be found in most major cities. Learn this delicate art through the Summerset Chapter.,
"Craft [2, 4, 5] Items with the Provisioning skill","Craft items using the Provisioning skill to complete this endeavor. Cooking Fires can be found throughout the world, and in most major cities. Alternatively, you can use the Provision Station in your home.",
"Craft [2, 4, 5, 6] Items with the Woodworking skill",Craft items using the Woodworking skill to complete this endeavor. Woodworking stations can be found in most major cities.,
"Cut [2, 5, 8, 12] Logs of Wood",Collect Woodworking resources from logs of wood to complete this endeavor.,
"Deal [100000, 200000, 300000] Damage in Battlegrounds, Cyrodiil or Imperial City","Deal Damage in Battlegrounds, Cyrodiil or Imperial City to complete this endeavor.",
"Deal [50000, 75000, 100000, 125000] Damage with Siege Weapons","Deal damage with siege weapons like trebuchets, catapults, and ballistae in Cyrodiil (to players, guards, or keeps) to complete this endeavor.",
"Deconstruct [5, 8, 10, 12, 15] Items at a Blacksmithing table",Deconstruct items using the Blacksmithing skill to complete this endeavor. Blacksmithing stations can be found in most major cities.,
"Deconstruct [5, 8, 10, 12] Items at a Clothier table",Deconstruct items using the Clothier skill to complete this endeavor. Clothier stations can be found in most major cities.,
"Deconstruct [5, 8, 10, 12] Items at a Jewelry Crafting table",Deconstruct items using the Jewelry Crafting skill to complete this endeavor. Jewelry Crafting stations can be found in most major cities. Learn this delicate art through the Summerset Chapter.,
"Deconstruct [5, 8, 10] Items at a Woodworking table",Deconstruct items using the Woodworking skill to complete this endeavor. Woodworking stations can be found in most major cities.,
"Defeat [1, 2, 3] Cycle boss(es) in the Infinite Archive",Defeat Cycle bosses in the Infinite Archive to complete this endeavor.,
Defeat 4 Cycle bosses in the Infinite Archive with a guildmate,Defeat Cycle bosses in the Infinite Archive with a guildmate to complete this endeavor.,
"Defeat [2, 4] Cycle bosses in the Infinite Archive with a partner",Defeat Cycle bosses in the Infinite Archive with another player or companion to complete this endeavor.,
"Defeat [25, 40, 55, 70, 100] Enemies",Defeat foes across Tamriel to complete this endeavor.,
"Defeat [25, 40, 55, 70] Enemies with Scribed Skills",Defeat Enemies with Scribed Skills to complete this endeavor.,
"Defeat [25, 40, 55, 70, 100] Enemies",Defeat foes across Tamriel to complete this endeavor.,
Defeat 20 Humanoids in West Weald,Defeat Humanoids in West Weald to complete this endeavor.,
Defeat 1 Patrolling Horror in the Imperial City Districts,Defeat the colossal monsters that roam the Imperial City's districts to complete this endeavor.,
Defeat Tho'at Replicanum in the Infinite Archive 1 time,Defeat Tho'at Replicanum in the Infinite Archive to complete this endeavor.,
Defeat Tho'at Replicanum in the Infinite Archive 1 time with a partner,Defeat Tho'at Replicanum with another player or a companion in the Infinite Archive to complete this endeavor.,
Destroy 1 Abyssal Geyser,Destroy Abyssal Geysers in Summerset to complete this endeavor.,
"Destroy [1, 5, 10] Air Atronach(s)",Destroy air Atronachs to complete this endeavor. These blustery foes often dwell in Craglorn.,
"Destroy [5, 10] Clockwork Foes","Destroy Fabricants, factotums, and other clockwork foes to complete this endeavor. Seek them out in Sotha Sil's Clockwork City.",
Destroy 1 Dark Anchor,Destroy Dark Anchors sent to Tamriel by Molag Bal to complete this endeavor.,
"Destroy [1, 5, 10, 15] Dwarven Automata","Destroy Dwarven Spheres, Dwarven Spiders, and other Dwarven automata to complete this endeavor. These murderous machines patrol the halls of Dwarven ruins.",
"Destroy [1, 5, 10] Flame Atronach(s)",Destroy Flame Atronachs to complete this endeavor. Seek these scorching abominations in charred ruins and the fiery depths of Oblivion.,
"Destroy [1, 5, 10, 15] Flesh Atronach(s)",Destroy flesh atronachs to complete this endeavor. Hunt these gruesome monstrosities in corrupted ruins throughout Tamriel.,
"Destroy [5, 10] Frost Atronachs",Destroy Frost Atronachs to complete this endeavor. These glacial aberrations commonly wander the jagged hills of Craglorn.,
"Destroy [1, 5 10, 15] Ghost(s)","Destroy spirits, specters, and other ghosts to complete this endeavor. Seek these cursed undead in ruined castles and haunted cemeteries across Tamriel.",
Destroy 1 Harrowstorm,"Dispel Harrowstorms in Western Skyrim, Blackreach: Greymoor Caverns, and the Reach to complete this endeavor.",
"Destroy [1, 5, 10] Iron Atronach(s)",Destroy iron Atronachs to complete this endeavor. These molten monstrosities wander the volcanic wastes of Vvardenfell.,
"Destroy [1, 5, 10] Rotting Undead Foes","Destroy zombies, draugr, and other rotting undead foes to complete this endeavor. Seek these ghastly abominations in crypts, tombs, and forbidding swamplands.",
"Destroy [5, 10, 15] Skeletons",Destroy skeletons to complete this endeavor. Seek these clattering foes in ruins and crypts throughout Tamriel.,
"Destroy [1, 5] Stone Atronach(s)",Destroy Stone Atronachs to complete this endeavor. Seek them out in the ruins of Craglorn.,
"Destroy [1, 5, 10] Storm Atronach(s)","Destroy Storm Atronachs to complete this endeavor. These otherworldly creatures often thunder across the craggy highlands of Craglorn and High Rock, as well as, throughout the ruins of Sunhold in Summerset.",
"Destroy [1, 5, 10] Watery Foe(s)","Destroy wisps, Nereids, and other watery foes to complete this endeavor. These mysterious creatures swirl across the frigid plains of Skyrim and swim in watery depths throughout Tamriel.",
"Dig Up [1, 2] Chest(s) from Treasure Maps",Follow Treasure Maps and dig up their Treasure Chests to complete this endeavor.,
Earn 1 Event Ticket,Earn tickets during the current event to complete this endeavor.,
"Earn [100, 150, 200, 250] Tel Var Stones Through Kills and Rewards",Earn Tel Var stones by killing players or monsters in the Imperial City to complete this endeavor.,
"Earn [10000, 15000, 20000] Alliance Points","Earn Alliance Points by participating in Battlegrounds, Cyrodiil, or the Imperial City to complete this endeavor.",
"Earn [750, 1000, 1250] Archival Fortunes in the Infinite Archive",Earn Archival Fortunes in the Infinite Archive to complete this endeavor.,
"Earn [500, 1000, 2000] Award Medals in Battlegrounds",Earn Award Medals by killing players and completing objectives in Battlegrounds to complete this endeavor.,
"Enchant [1, 2, 3, 4, 5] Piece(s) of Equipment",Place new enchantments on pieces of equipment to complete this endeavor.,
"Escape from Guards [1, 2] Time(s)","Successfully flee from town guards, after catching their notice, to complete this endeavor.",
"Excavate [1, 2, 3, 4] Antiquities",Find and excavate Antiquities throughout Tamriel to complete this endeavor. Begin your antiquarian journey through the Greymoor Chapter.,
Excavate 1 Purple or Gold-quality Antiquity,Excavate Purple or Gold-quality Antiquities to complete this endeavor. Begin your antiquarian journey through the Greymoor Chapter.,
"Extract [5, 8, 10, 12] Items at an Enchanting table",Extract items using the Enchanting skill to complete this endeavor. Enchanting stations can be found in most major cities.,
"Harvest [5, 8, 10, 12] Resources from the World","Harvest crafting resources from plants, ore veins, or any other natural deposit to complete this endeavor.",
"Heal [50000, 75000, 100000] Amount in Battlegrounds, Cyrodiil or Imperial City","Heal in Battlegrounds, Cyrodill or Imperial City to complete this endeavor.",
"Heal [30000, 60000, 90000] Amount with Scribed Skills",Heal with Scribed Skills to complete this endeavor.,
Improve 1 Item,Improve Items to complete this endeavor.,
"Kill [1, 5, 10] Amorphous Foe(s)","Kill netches, voriplasms, and other amorphous foes. These unsettling creatures lurk in the swamps and volcanic wastes of Black Marsh and Morrowind.",
"Kill [1, 5, 10] Barbaric Foe(s)","Kill goblins, ogres, lamia, and other barbaric foes to complete this endeavor. These savage brutes gather in caves, ruins, and rocky highlands throughout Tamriel.",
"Kill [1, 5, 10] Beasts",Kill beasts throughout Tamriel to complete this endeavor.,
"Kill [1, 5, 10, 15] Bestial Daedra","Kill ogrims, clannfear, scamps and other bestial Daedra to complete this endeavor. These cruel monstrosities stalk the planes of Oblivion in great numbers.",
"Kill [1, 5, 10] Chitinous Foes","Kill mudcrabs, yaghra, dunerippers, and other hard-shelled foes to complete this endeavor. These repulsive beasts often prowl Tamriel's shores and seaside caves.",
"Kill [5, 10, 15] Citizens with the Blade of Woe",Kill citizens of Tamriel with the Blade of Woe to complete this endeavor. Learn to wield the blade in the Dark Brotherhood DLC.,
"Kill [1, 2, 4, 8] Dangerous Foe(s)",Kill foes with shielded life-bars to complete this endeavor.,
Kill 2 Delve Bosses,Kill Delve bosses to complete this endeavor.,
"Kill [1, 2, 3] Delve Boss(es) in Auridon",Kill Delve Bosses in Auridon to complete this endeavor.,
Kill 1 Delve Boss in Cyrodiil,Kill Delve Bosses in Cyrodiil to complete this endeavor.,
"Kill [1, 2, 3] Delve Boss(es) in Glenumbra",Kill Delve Bosses in Glenumbra to complete this endeavor.,
"Kill [1, 2, 3] Delve Boss(es) in Grahtwood",Kill Delve Bosses in Grahtwood to complete this endeavor.,
"Kill [1, 2] Delve Boss(es) in Greenshade",Kill Delve Bosses in Auridon to complete this endeavor.,
"Kill [1, 2] Delve Boss(es) in Malabal Tor",Kill Delve Bosses in Malabal Tor to complete this endeavor.,
"Kill [1, 2] Delve Boss(es) in Southern Elsweyr",Kill Delve Bosses in Southern Elsweyr to complete this endeavor.,
Kill 1 Dragon,Kill Dragons to complete this endeavor. These ancient behemoths soar over the Khajiiti homeland of Elsweyr.,
"Kill [5, 10, 15, 20, 30] Foes with Class Skills",Finish off foes with Class Skills to complete this endeavor.,
"Kill [5, 10, 15, 20] Foes with Weapon Skills",Finish off foes with Weapon Skills to complete this endeavor.,
"Kill [1, 5, 10] Giant(s)",Kill giants to complete this endeavor. These titanic foes wander the frigid plains of Skyrim.,
"Kill [1, 5, 10, 15] Humanoid Daedra","Kill Dremora, Xivkyn, Skaafin, and other humanoid Daedra to complete this endeavor. Seek these cruel Daedric servants in the planes of Oblivion.",
"Kill [1, 5, 10, 15] Humanoid Foe(s) in PvE","Kill humanoid enemies (Goblins, Nords, Lamia, Bretons, etc.) in PvE encounters to complete this endeavor.",
"Kill [1, 5, 10, 15] Insect(s) or Arachnid(s)","Kill hoarvors, kwama, and other monstrous insects and spiders to complete this endeavor. These skittering horrors exist throughout Tamriel-particularly in caves and crypts.",
"Kill [2, 4, 7] People",Kill citizens of Tamriel to complete this endeavor.,
"Kill [1, 5, 10, 15] Plant Creatures","Kill stranglers, lurchers, and other monstrous plants to complete this endeavor. These ravenous horrors take root in the swamps of Black Marsh and lush jungles of Valenwood.",
"Kill [1, 2, 3] Player(s) in Cyrodiil",Kill enemy players in Cyrodiil to complete this endeavor.,
"Kill [1, 2, 3] Public Dungeon Boss(es) in Alik'r Desert","Kill Public Dungeon bosses in the Lost City of Na-Totambu, located in Alik'r Desert, to complete this endeavor.",
"Kill [1, 2, 3] Public Dungeon Boss(es) Public Dungeon Boss in Auridon","Kill Public Dungeon bosses in Toothmaul Gully, located in Auridon, to complete this endeavor.",
"Kill [1, 2, 3] Public Dungeon Boss(es) Public Dungeon Boss in Bangkorai","Kill Public Dungeon bosses in Razak's Wheel, located in Bangkorai, to complete this endeavor.",
"Kill [1, 2, 3] Public Dungeon Boss(es) Public Dungeon Boss in Blackwood","Kill Public Dungeon bosses in The Silent Halls or Zenithar's Abbey, located in Blackwood, to complete this endeavor.",
Kill 2 Public Dungeon Bosses Public Dungeon Boss in Coldharbour,"Kill Public Dungeon bosses in Village of the Lost, located in Coldharbour, to complete this endeavor.",
Kill 1 Public Dungeon Boss in Deshaan,"Kill Public Dungeon bosses in Forgotten Crypts, located in Deshaan, to complete this endeavor.",
"Kill [1, 2] Public Dungeon Boss(es) in Eastmarch","Kill Public Dungeon bosses in Hall of the Dead, located in Eastmarch, to complete this endeavor.",
"Kill [1, 2] Public Dungeon Boss(es) in Glenumbra","Kill Public Dungeon bosses in Bad Man's Hallows, located in Glenumbra, to complete this endeavor.",
"Kill [1, 2, 3] Public Dungeon Boss(es) in Grahtwood","Kill Public Dungeon bosses in Root Sunder Ruins, located in Grahtwood, to complete this endeavor.",
Kill 2 Public Dungeon Bosses in Greenshade,"Kill Public Dungeon bosses in Rulanyil's Fall, located in Greenshade, to complete this endeavor.",
Kill 2 Public Dungeon Bosses in Malabal Tor,"Kill Public Dungeon bosses in Crimson Cove, located in Malabal Tor, to complete this endeavor.",
Kill 2 Public Dungeon Bosses in Northern Elsweyr,"Kill Public Dungeon bosses in Orcrest or Rimmen Necropolis, located in Northern Elsweyr, to complete this endeavor.",
"Kill [2, 3] Public Dungeon Bosses in Reaper's March","Kill Public Dungeon bosses in The Vile Manse, located in Reaper's March, to complete this endeavor.",
"Kill [2, 3] Public Dungeon Bosses in Rivenspire","Kill Public Dungeon bosses in Obsidian Scar, located in Rivenspire, to complete this endeavor.",
"Kill [2, 3] Public Dungeon Bosses in Shadowfen","Kill Public Dungeon bosses in Sanguine's Demesne, located in Shadowfen, to complete this endeavor.",
"Kill [1, 3] Public Dungeon Boss(es) in Stormhaven","Kill Public Dungeon bosses in Bonesnap Ruins, located in Stormhaven, to complete this endeavor.",
Kill 1 Public Dungeon Boss in Summerset,"Kill Public Dungeon bosses in Karnwasten or Sunhold, located in Summerset, to complete this endeavor.",
Kill 2 Public Dungeon Bosses in The Rift,"Kill Public Dungeon bosses in The Lion's Den, located in The Rift, to complete this endeavor.",
"Kill [1, 2, 3] Public Dungeon Boss(es) in Vvardenfell","Kill Public Dungeon bosses in Forgotten Wastes or Nchuleftingth, located in Vvardenfell, to complete this endeavor.",
"Kill [1, 2] Public Dungeon Boss(es) in Western Skyrim","Kill Public Dungeon bosses in Nchuthnkarst or Labyrinthian, located in Western Skyrim, to complete this endeavor.",
"Kill [1, 2, 3] Public Dungeon Boss(es) in Wrothgar","Kill Public Dungeon bosses in Old Orsinium or Rkindaleft, located in Wrothgar, to complete this endeavor.",
"Kill [1, 5, 10] Reptile(s)","Kill haj mota, wamasu, and other monstrous reptiles to complete this endeavor. Hunt these cold-blooded beasts in the swamps of Black Marsh and jungles of Valenwood.",
"Kill [1, 5] Troll(s)",Kill trolls to complete this endeavor. These ferocious beasts wander the wilderness throughout Tamriel.,
"Kill [1, 5, 10, 15] Vampire(s)","Kill vampires to complete this endeavor. These bloodthirsty fiends often lurk in dark caves and cold, forgotten ruins.",
"Kill [1, 5, 10] Void Creature(s)","Kill shades, voidmothers, and other void creatures to complete this endeavor. Seek these horrifying entities in caverns beneath the Reach.",
"Kill [1, 5, 10, 15, 20] Wild or Domestic Animal(s)","Kill snakes, deer, lizards, livestock, and other assorted critters throughout Tamriel to complete this endeavor.",
"Kill [1, 2, 4] World Bosses",Kill World Bosses to complete this endeavor.,
"Launder [5, 8, 10, 12] Items at Fences",Visit a Fence and launder ill-gotten goods to complete this endeavor. Fences reside in Outlaw's Refuges beneath most major cities.,
"Loot [5, 10, 15, 20] Containers","Loot baskets, barrels, nightstands, wardrobes and other containers to complete this endeavor.",
"Loot [1, 2, 3, 4] Stealable Item(s) of Blue Quality or Better","Steal items of Blue quality or better from either containers, peoples' pockets or dead citizens to complete this endeavor.",
"Loot [1, 2, 3] Thieves Trove(s)",Loot Thieves Troves to complete this endeavor.,
