Coldharbour
Place,Boss/Quest,Set,Item Name,Description
The Lost Lute,Prisoner's Rags,Battle Minstrel's Mantle,"Minstrel Idria bestowed this light shoulder armor for recovering her lute, F'lah, from the Grotto of Depravity."
The Hollow City,The Army of Meridia,Meridia's Blessed Armor,Ayleid's Hope,King Dynar gave you this amulet for gathering the forces of the Mages Guild and the Fighters Guild in the Hollow City.
The Final Assault,Stygian,Ayleid's Wrath,King Dynar gave you this greatsword as a remembrance of companions who fell to the Planemeld.
Haj Uxith,Wisdom of the Ages,Stygian,Hist Bark Hide,The Argonians of Haj Uxith gave you this chestpiece for helping decide the fate of their embattled Hist tree.
Library of Dusk,Through the Daedric Lens,Prisoner's Rags,Dungeon-Delving Staff,Kireth Vanos bestowed this staff for destroying the Daedric lenses and releasing her from the gallery at the Library of Dusk.
The Library of Dusk,Stygian,Dungeon-Delving Mantle,"You earned this mantle by helping Kireth and Raynor Vanos, Lady Laurent, and Telenger escape from the Library of Dusk."
The Lightless Oubliette,Light from the Darkness,Meridia's Blessed Armor,Ayleids' Coat of Memories,King Dynar gave you this armor as a reward for freeing him from the binding darkness of the Lightless Oubliette.
The Lost Fleet,Between Blood and Bone,Prisoner's Rags,Privateer Clogs,Captain One-Eye gave you these clogs for defeating the Admiral and determining the fate of the Crown of Bones.
Old Bones,Prisoner's Rags,Old Bone's Shivering Timber,"For reassembling the living skeleton called Bosun Bones of the Lost Fleet, this weapon was awarded."
Mal Sorra's Tomb,Mal Sorra,Meridia's Blessed Armor,Mal Sorra's Curse of Meridia,"An amulet awarded for defeating the wraith champion, Mal Sorra, in Mal Sorra's Tomb."
News of Fallen Kin,Prisoner's Rags,Battle Bracers,Awarded by Grundskar for providing news about the fate of his cousin in Mal Sorra's Tomb.
The Manor of Revelry,What the Heart Wants,Prisoner's Rags,Stibbon's Dress Shirt of the Prisoner,"You saved Stibbons from alluring Daedra, so he gave you the shirt off his back. Or one very much like it."
The Moonless Walk,Into the Woods,Stygian,Fighters Guild Visor,You received this visor after traversing the Moonless Walk and locating Sergeant Kamu of the Fighters Guild.
An Unusual Circumstance,Stygian,Bow of Penumbra,A Shadow Walker weapon awarded for traversing the Moonless Walk and finding a way into the Lightless Oubliette.
The Shadow's Embrace
The Orchard,The Harvest Heart,Stygian,Blood-Red Brogans,You received these boots after resolving the vampire dilemma at the Orchard beyond the Chasm.
The Reaver Citadel,The Citadel Must Fall,Meridia's Blessed Armor,Bulwark of the Citadel,Awarded for helping the Fighters Guild and Mages Guild find safe passage through the Citadel of the Reavers.
Risen Court,Brolsgerbwd,Meridia's Blessed Armor,Brolsgerbwd's Bone Staff of Meridia,"A weapon awarded for defeating the Dremora necromancer, Brolsgerbwd."
Spurned Peak,"Truth, Lies, and Prisoners",Prisoner's Rags,Stibbon's Dress Trousers of the Prisoner,Losing one's freedom to an obsessed Daedra doesn't mean one has to lose their sense of style.
Tower of Lies,"Truth, Lies, and Prisoners",Meridia's Blessed Armor,Skordo's Stalwart,Skordo the Knife awarded this shield for releasing the Fighters Guild prisoners from the Tower of Lies.
The Vault of Haman Forgefire,Haman Forgefire,Stygian,Stygian Forgefire's Brutal Blade,"A weapon awarded for defeating the draugr champion, Haman Forgefire, in the Vault of Haman Forgefire."
Village of the Lost,Soul Survivors,Prisoner's Rags,Seal of Sacrifice,A grim reminder of Suronii's desperate plan to free the Village of the Lost from Coldharbour.
The Vile Laboratory,The Soul-Meld Mage,Prisoner's Rags,Soul-Meld Staff,This staff was your reward for helping restore the Soul-Meld Mage at the Vile Laboratory.
Vaults of Madness,Mind of Madness,The Worm's Raiment,Shield of the Conspirators of the Worm Cult,A token of thanks from the three trapped souls you freed from the Mad Architect's clutches.
The Wailing Maw,Marwoleath,Stygian,Stygian Marwoleath's Torment,"A ring awarded for defeating the powerful harvester, Marwoleath, in the cave known as the Wailing Maw."
The Anguish Gem,Stygian,Morrowind Vambraces,Dralnas awarded these medium-weight hand protectors for destroying the Anguish Gem and restoring his soul.
Zemarek's Hollow,Zemarek-thul,Prisoner's Rags,Prisoner Zemarek's Visor,"A light head covering awarded for defeating the Dwarven centurion, Zemarek-thul."
